,NAME,DATE,IRRIGATION
598,Missouri,2007,20843.28695652174
646,Missouri,2012,20483.739130434784
406,Missouri,1987,9274.034782608696
215,Montana,1969,64611.26315789474
167,Montana,1964,66433.68421052632
359,Montana,1982,70982.56140350878
263,Montana,1974,61720.70175438596
455,Montana,1992,69409.36842105263
599,Montana,2007,70637.43859649122
119,Montana,1959,65772.63157894737
311,Montana,1978,72615.12280701754
407,Montana,1987,70066.0350877193
551,Montana,2002,69337.22807017544
71,Montana,1954,66339.33333333333
503,Montana,1997,73738.52631578948
647,Montana,2012,66772.59649122808
23,Montana,1950,60238.31578947369
552,Nebraska,2002,162237.6595744681
168,Nebraska,1964,46155.68085106383
72,Nebraska,1954,24922.744680851065
360,Nebraska,1982,128495.5744680851
456,Nebraska,1992,134290.06382978722
264,Nebraska,1974,84402.76595744681
24,Nebraska,1950,18643.808510638297
648,Nebraska,2012,176522.82978723405
600,Nebraska,2007,182097.0
312,Nebraska,1978,120913.4255319149
408,Nebraska,1987,120890.10638297872
216,Nebraska,1969,60792.48936170213
120,Nebraska,1959,44211.1914893617
504,Nebraska,1997,150254.3085106383
25,Nevada,1950,80833.11111111111
649,Nevada,2012,76237.44444444444
409,Nevada,1987,85885.83333333333
73,Nevada,1954,63055.333333333336
361,Nevada,1982,92195.66666666667
505,Nevada,1997,84860.22222222222
217,Nevada,1969,83624.66666666667
313,Nevada,1978,97905.66666666667
169,Nevada,1964,91612.33333333333
265,Nevada,1974,86383.61111111111
601,Nevada,2007,76576.0
121,Nevada,1959,60330.666666666664
553,Nevada,2002,82518.5
457,Nevada,1992,61641.72222222222
74,New Hampshire,1954,171.27272727272728
650,New Hampshire,2012,478.1818181818182
314,New Hampshire,1978,314.27272727272725
458,New Hampshire,1992,317.45454545454544
554,New Hampshire,2002,416.72727272727275
122,New Hampshire,1959,227.0909090909091
506,New Hampshire,1997,516.0
410,New Hampshire,1987,536.0
26,New Hampshire,1950,113.0909090909091
602,New Hampshire,2007,451.27272727272725
266,New Hampshire,1974,387.27272727272725
362,New Hampshire,1982,237.63636363636363
170,New Hampshire,1964,481.45454545454544
218,New Hampshire,1969,274.54545454545456
267,New Jersey,1974,8120.090909090909
171,New Jersey,1964,8766.636363636364
315,New Jersey,1978,7011.181818181818
651,New Jersey,2012,8034.181818181818
603,New Jersey,2007,8661.545454545454
411,New Jersey,1987,8291.636363636364
555,New Jersey,2002,8808.454545454546
459,New Jersey,1992,7309.909090909091
219,New Jersey,1969,6542.454545454545
363,New Jersey,1982,7549.909090909091
123,New Jersey,1959,6715.727272727273
507,New Jersey,1997,8580.0
27,New Jersey,1950,2556.090909090909
75,New Jersey,1954,5355.636363636364
172,New Mexico,1964,49255.93939393939
220,New Mexico,1969,49856.393939393936
364,New Mexico,1982,48726.818181818184
76,New Mexico,1954,39370.606060606064
412,New Mexico,1987,43542.36363636364
556,New Mexico,2002,51150.42424242424
652,New Mexico,2012,41180.21212121212
508,New Mexico,1997,51605.242424242424
124,New Mexico,1959,44353.63636363636
28,New Mexico,1950,39714.36363636364
316,New Mexico,1978,53976.36363636364
460,New Mexico,1992,44727.84848484849
604,New Mexico,2007,50196.06060606061
268,New Mexico,1974,52565.121212121216
173,New York,1964,2514.063492063492
413,New York,1987,1597.1587301587301
557,New York,2002,2370.1111111111113
29,New York,1950,611.047619047619
221,New York,1969,1761.031746031746
653,New York,2012,1897.984126984127
77,New York,1954,1873.7777777777778
461,New York,1992,1455.1904761904761
605,New York,2007,2158.5873015873017
365,New York,1982,1642.6507936507937
317,New York,1978,1768.5079365079366
509,New York,1997,2331.904761904762
125,New York,1959,1841.1746031746031
269,New York,1974,1732.5873015873017
270,North Carolina,1974,1016.6237623762377
78,North Carolina,1954,503.4257425742574
510,North Carolina,1997,3080.019801980198
222,North Carolina,1969,1171.3465346534654
558,North Carolina,2002,5223.316831683168
366,North Carolina,1982,1594.049504950495
126,North Carolina,1959,1301.8415841584158
462,North Carolina,1992,2217.5148514851485
30,North Carolina,1950,41.24752475247525
654,North Carolina,2012,3454.0
414,North Carolina,1987,2725.6732673267325
318,North Carolina,1978,1771.970297029703
174,North Carolina,1964,1918.2970297029703
606,North Carolina,2007,4595.544554455446
31,North Dakota,1950,1307.1851851851852
79,North Dakota,1954,1395.2592592592594
415,North Dakota,1987,6168.055555555556
271,North Dakota,1974,2594.4444444444443
463,North Dakota,1992,6855.888888888889
175,North Dakota,1964,1872.148148148148
655,North Dakota,2012,8006.666666666667
607,North Dakota,2007,8659.222222222223
367,North Dakota,1982,5970.5
511,North Dakota,1997,6696.425925925926
319,North Dakota,1978,5141.462962962963
127,North Dakota,1959,1765.037037037037
559,North Dakota,2002,7429.148148148148
223,North Dakota,1969,2277.9814814814813
560,Ohio,2002,867.6179775280899
368,Ohio,1982,570.9550561797753
512,Ohio,1997,712.9887640449438
656,Ohio,2012,997.9550561797753
320,Ohio,1978,533.0
272,Ohio,1974,496.96629213483146
224,Ohio,1969,496.3370786516854
176,Ohio,1964,391.12359550561797
608,Ohio,2007,799.7640449438202
128,Ohio,1959,269.03370786516854
80,Ohio,1954,345.59550561797755
32,Ohio,1950,128.22471910112358
416,Ohio,1987,720.8988764044943
464,Ohio,1992,636.7415730337078
513,Oklahoma,1997,13043.75641025641
561,Oklahoma,2002,13235.21794871795
609,Oklahoma,2007,13702.538461538461
657,Oklahoma,2012,12282.564102564103
129,Oklahoma,1959,5067.48717948718
273,Oklahoma,1974,13207.794871794871
465,Oklahoma,1992,13100.038461538461
321,Oklahoma,1978,15423.51282051282
33,Oklahoma,1950,873.6153846153846
417,Oklahoma,1987,12257.794871794871
225,Oklahoma,1969,13437.564102564103
369,Oklahoma,1982,12598.423076923076
177,Oklahoma,1964,7745.666666666667
81,Oklahoma,1954,2773.102564102564
418,Oregon,1987,89092.16216216216
658,Oregon,2012,88093.78378378379
610,Oregon,2007,99740.21621621621
466,Oregon,1992,87688.37837837837
130,Oregon,1959,74826.16216216216
226,Oregon,1969,82130.86486486487
322,Oregon,1978,101666.64864864865
562,Oregon,2002,103114.97297297297
514,Oregon,1997,106133.94594594595
178,Oregon,1964,86900.48648648648
370,Oregon,1982,97723.35135135135
274,Oregon,1974,84402.05405405405
34,Oregon,1950,70638.37837837837
82,Oregon,1954,80560.32432432432
659,Pennsylvania,2012,1111.5
323,Pennsylvania,1978,422.9264705882353
131,Pennsylvania,1959,485.97058823529414
611,Pennsylvania,2007,1110.4411764705883
563,Pennsylvania,2002,1247.514705882353
275,Pennsylvania,1974,521.5882352941177
515,Pennsylvania,1997,1177.5588235294117
83,Pennsylvania,1954,527.9411764705883
227,Pennsylvania,1969,549.9117647058823
419,Pennsylvania,1987,862.3235294117648
467,Pennsylvania,1992,674.1911764705883
35,Pennsylvania,1950,213.26470588235293
179,Pennsylvania,1964,668.6470588235294
371,Pennsylvania,1982,529.4117647058823
228,Rhode Island,1969,641.6666666666666
324,Rhode Island,1978,899.5
660,Rhode Island,2012,1318.0
516,Rhode Island,1997,1111.0
36,Rhode Island,1950,543.6666666666666
180,Rhode Island,1964,476.0
132,Rhode Island,1959,135.33333333333334
564,Rhode Island,2002,1321.0
612,Rhode Island,2007,1435.3333333333333
468,Rhode Island,1992,993.0
84,Rhode Island,1954,336.3333333333333
420,Rhode Island,1987,1164.6666666666667
276,Rhode Island,1974,778.6666666666666
372,Rhode Island,1982,726.5
325,South Carolina,1978,1359.9148936170213
229,South Carolina,1969,638.4255319148937
469,South Carolina,1992,3203.255319148936
277,South Carolina,1974,439.78723404255317
565,South Carolina,2002,4069.872340425532
37,South Carolina,1950,272.6808510638298
181,South Carolina,1964,788.2553191489362
85,South Carolina,1954,936.5531914893617
517,South Carolina,1997,3697.191489361702
421,South Carolina,1987,3425.9574468085107
613,South Carolina,2007,5560.127659574468
133,South Carolina,1959,1061.787234042553
661,South Carolina,2012,6708.936170212766
373,South Carolina,1982,3450.255319148936
470,South Dakota,1992,11079.567164179105
422,South Dakota,1987,10779.985074626866
278,South Dakota,1974,4543.373134328358
614,South Dakota,2007,11130.328358208955
662,South Dakota,2012,11230.477611940298
374,South Dakota,1982,11206.865671641792
566,South Dakota,2002,11897.940298507463
86,South Dakota,1954,2697.6417910447763
182,South Dakota,1964,3882.089552238806
134,South Dakota,1959,3451.6119402985073
326,South Dakota,1978,9962.253731343284
230,South Dakota,1969,4428.089552238806
38,South Dakota,1950,2330.417910447761
518,South Dakota,1997,10927.268656716418
135,Tennessee,1959,228.72916666666666
615,Tennessee,2007,1644.8958333333333
39,Tennessee,1950,21.083333333333332
87,Tennessee,1954,469.75
567,Tennessee,2002,1226.03125
183,Tennessee,1964,223.6875
231,Tennessee,1969,253.29166666666666
471,Tennessee,1992,715.2604166666666
279,Tennessee,1974,205.41666666666666
375,Tennessee,1982,334.65625
327,Tennessee,1978,249.11458333333334
519,Tennessee,1997,950.5729166666666
663,Tennessee,2012,3035.7708333333335
423,Tennessee,1987,750.75
328,Texas,1978,54432.15294117647
376,Texas,1982,43645.05098039216
616,Texas,2007,39256.8431372549
568,Texas,2002,39756.21568627451
184,Texas,1964,50078.14117647059
424,Texas,1987,33270.25882352941
88,Texas,1954,36917.86666666667
280,Texas,1974,51701.14509803922
232,Texas,1969,54024.117647058825
520,Texas,1997,45102.21960784314
40,Texas,1950,24561.050980392156
472,Texas,1992,38474.7568627451
136,Texas,1959,44357.945098039214
664,Texas,2012,35137.6
137,Utah,1959,70778.86666666667
521,Utah,1997,81231.6
617,Utah,2007,75609.6
89,Utah,1954,71512.13333333333
425,Utah,1987,77413.8
41,Utah,1950,75866.33333333333
473,Utah,1992,76167.6
377,Utah,1982,72155.2
185,Utah,1964,72818.0
665,Utah,2012,73617.13333333333
233,Utah,1969,68334.26666666666
329,Utah,1978,77908.06666666667
569,Utah,2002,72734.06666666667
281,Utah,1974,64643.0
570,Vermont,2002,303.6
378,Vermont,1982,152.53333333333333
138,Vermont,1959,214.93333333333334
42,Vermont,1950,40.4
474,Vermont,1992,275.26666666666665
618,Vermont,2007,306.0
330,Vermont,1978,167.33333333333334
522,Vermont,1997,369.06666666666666
426,Vermont,1987,234.73333333333332
666,Vermont,2012,475.3333333333333
186,Vermont,1964,141.73333333333332
90,Vermont,1954,91.86666666666666
282,Vermont,1974,67.86666666666666
234,Vermont,1969,38.13333333333333
283,Virginia,1974,570.8383838383838
427,Virginia,1987,1579.030303030303
43,Virginia,1950,56.86868686868687
91,Virginia,1954,439.42424242424244
379,Virginia,1982,844.3838383838383
619,Virginia,2007,1627.3939393939395
571,Virginia,2002,1982.040404040404
235,Virginia,1969,739.7575757575758
187,Virginia,1964,1029.6565656565656
139,Virginia,1959,628.3030303030303
475,Virginia,1992,1229.141414141414
667,Virginia,2012,1345.7373737373737
523,Virginia,1997,1722.5050505050506
331,Virginia,1978,829.1212121212121
188,Washington,1964,57492.1
92,Washington,1954,38906.75
524,Washington,1997,89356.0
668,Washington,2012,81678.55
236,Washington,1969,61211.9
284,Washington,1974,65450.9
428,Washington,1987,75934.2
620,Washington,2007,86795.85
572,Washington,2002,91157.75
332,Washington,1978,81941.4
44,Washington,1950,29451.75
140,Washington,1959,50348.45
380,Washington,1982,81923.5
476,Washington,1992,81966.05
45,West Virginia,1950,1.4285714285714286
237,West Virginia,1969,113.07142857142857
477,West Virginia,1992,88.25
429,West Virginia,1987,103.67857142857143
669,West Virginia,2012,66.07142857142857
189,West Virginia,1964,86.42857142857143
381,West Virginia,1982,29.625
525,West Virginia,1997,119.51785714285714
141,West Virginia,1959,39.82142857142857
573,West Virginia,2002,65.85714285714286
93,West Virginia,1954,49.32142857142857
333,West Virginia,1978,34.232142857142854
285,West Virginia,1974,54.035714285714285
621,West Virginia,2007,76.89285714285714
46,Wisconsin,1950,271.69444444444446
190,Wisconsin,1964,1730.611111111111
286,Wisconsin,1974,3552.25
382,Wisconsin,1982,7037.222222222223
478,Wisconsin,1992,9176.930555555555
670,Wisconsin,2012,11702.055555555555
334,Wisconsin,1978,6483.791666666667
430,Wisconsin,1987,7884.222222222223
574,Wisconsin,2002,10702.388888888889
622,Wisconsin,2007,10468.722222222223
142,Wisconsin,1959,885.0555555555555
526,Wisconsin,1997,9941.5
238,Wisconsin,1969,2931.277777777778
94,Wisconsin,1954,505.52777777777777
335,Wyoming,1978,138463.16666666666
575,Wyoming,2002,128474.0
527,Wyoming,1997,145825.66666666666
479,Wyoming,1992,122048.75
431,Wyoming,1987,126490.91666666667
383,Wyoming,1982,130381.33333333333
287,Wyoming,1974,121658.33333333333
239,Wyoming,1969,126951.83333333333
191,Wyoming,1964,130932.66666666667
143,Wyoming,1959,122492.58333333333
95,Wyoming,1954,105219.33333333333
47,Wyoming,1950,119313.91666666667
623,Wyoming,2007,129226.91666666667
671,Wyoming,2012,119642.5
